"name","returnPeriod","displayDate","value"
"tx260_1981_2010","y2",2016-06-24,30.5235957831061
"tx260_1981_2010","y2",2016-06-25,30.5965717664188
"tx260_1981_2010","y2",2016-06-26,30.6656842604689
"tx260_1981_2010","y2",2016-06-27,30.7307041523124
"tx260_1981_2010","y2",2016-06-28,30.7914023302978
"tx260_1981_2010","y2",2016-06-29,30.8475496840827
"tx260_1981_2010","y2",2016-06-30,30.8989171046488
"tx260_1981_2010","y2",2016-07-01,30.9452754843156
"tx260_1981_2010","y2",2016-07-02,30.9864057471674
"tx260_1981_2010","y2",2016-07-03,31.0223195182175
"tx260_1981_2010","y2",2016-07-04,31.0532591234159
"tx260_1981_2010","y2",2016-07-05,31.0794769204987
"tx260_1981_2010","y2",2016-07-06,31.1012252685751
"tx260_1981_2010","y2",2016-07-07,31.118756528129
"tx260_1981_2010","y2",2016-07-08,31.1323230610175
"tx260_1981_2010","y2",2016-07-09,31.1421772304683
"tx260_1981_2010","y2",2016-07-10,31.148571401075
"tx260_1981_2010","y2",2016-07-11,31.1517579387898
"tx260_1981_2010","y2",2016-07-12,31.1519892109148
"tx260_1981_2010","y2",2016-07-13,31.1495175860911
"tx260_1981_2010","y2",2016-07-14,31.1445954342855
"tx260_1981_2010","y2",2016-07-15,31.1374751267759
"tx260_1981_2010","y2",2016-07-16,31.1284090361341
"tx260_1981_2010","y2",2016-07-17,31.1176495362067
"tx260_1981_2010","y2",2016-07-18,31.1054490020942
"tx260_1981_2010","y2",2016-07-19,31.0920598101274
"tx260_1981_2010","y2",2016-07-20,31.0777343378432
"tx260_1981_2010","y2",2016-07-21,31.0627249639565
"tx260_1981_2010","y2",2016-07-22,31.0472840683315
"tx260_1981_2010","y2",2016-07-23,31.03166403195
"tx260_1981_2010","y2",2016-07-24,31.0161172368789
"tx260_1981_2010","y2",2016-07-25,31.0008960662341
"tx260_1981_2010","y2",2016-07-26,30.9862529041433
"tx260_1981_2010","y2",2016-07-27,30.972440135707
"tx260_1981_2010","y2",2016-07-28,30.9597018902853
"tx260_1981_2010","y2",2016-07-29,30.9480095217101
"tx260_1981_2010","y2",2016-07-30,30.9370056441292
"tx260_1981_2010","y2",2016-07-31,30.9263132973745
"tx260_1981_2010","y2",2016-08-01,30.9155555182995
"tx260_1981_2010","y2",2016-08-02,30.9043553407825
"tx260_1981_2010","y2",2016-08-03,30.8923357957337
"tx260_1981_2010","y2",2016-08-04,30.8791199111058
